Epoch,Time(sec),Loss_train,AUC_dev,pre,recall,PRC_dev,flipnum,data
55,36.21601436,4.889610857,0.91314691,0.805825243,0.512345679,0.766467844,8,gt_acceptors_achiral_binary_nopu
62,34.19139407,4.995849133,0.906222364,0.864864865,0.395061728,0.702615172,25,gt_acceptors_achiral_binary_nopu
61,35.71516885,4.929903388,0.920504793,0.692810458,0.654320988,0.753560018,41,gt_acceptors_achiral_binary_nopu
61,35.20733752,4.94165507,0.916790477,0.772277228,0.481481481,0.750841904,83,gt_acceptors_achiral_binary_nopu
31,35.21162262,5.068613082,0.91292582,0.694029851,0.574074074,0.680173846,167,gt_acceptors_achiral_binary_nopu
61,35.18384449,4.845829457,0.922112548,0.765517241,0.60989011,0.79763628,8,gt_acceptors_achiral_binary_nopu
55,34.84728534,4.895860463,0.922801387,0.741721854,0.615384615,0.780326295,25,gt_acceptors_achiral_binary_nopu
55,35.1368685,5.111585438,0.905385912,0.72,0.494505495,0.719177241,41,gt_acceptors_achiral_binary_nopu
55,35.3541901,4.977645934,0.915888684,0.746478873,0.582417582,0.749864823,83,gt_acceptors_achiral_binary_nopu
23,35.57136019,5.128940493,0.911318033,0.763358779,0.549450549,0.739628656,167,gt_acceptors_achiral_binary_nopu
59,35.14577539,4.976940989,0.926142715,0.778846154,0.496932515,0.761379823,8,gt_acceptors_achiral_binary_nopu
49,34.89915303,4.945270389,0.927260565,0.711111111,0.588957055,0.747685851,25,gt_acceptors_achiral_binary_nopu
56,35.06093006,5.004584223,0.927471812,0.776859504,0.576687117,0.765112906,41,gt_acceptors_achiral_binary_nopu
50,34.68310046,4.9957605,0.920958358,0.712328767,0.63803681,0.749581966,83,gt_acceptors_achiral_binary_nopu
55,34.84588834,5.022857338,0.919743687,0.836065574,0.312883436,0.723630069,167,gt_acceptors_achiral_binary_nopu
59,35.30172178,5.025512695,0.934808655,0.883116883,0.425,0.790301126,8,gt_acceptors_achiral_binary_nopu
55,35.07421753,5.046086371,0.923435265,0.822222222,0.4625,0.748303193,25,gt_acceptors_achiral_binary_nopu
61,35.42335889,5.038154542,0.923614092,0.75,0.4875,0.733744049,41,gt_acceptors_achiral_binary_nopu
61,34.78475938,5.01453054,0.924552933,0.732283465,0.58125,0.764961823,83,gt_acceptors_achiral_binary_nopu
61,34.97645242,4.97129041,0.912750358,0.727272727,0.45,0.701655755,167,gt_acceptors_achiral_binary_nopu
61,105.7851224,43.53624421,0.814288339,0.537593985,0.257889991,0.436444959,54,phosphatase_chiral_binary_nopu
7,104.9066236,43.72983134,0.814308937,0.567375887,0.144274121,0.443451068,162,phosphatase_chiral_binary_nopu
10,105.2151282,43.44628489,0.813101219,0.716814159,0.073038774,0.435015023,271,phosphatase_chiral_binary_nopu
7,105.0253545,42.90559515,0.827455427,0.584558824,0.143372408,0.467721305,542,phosphatase_chiral_binary_nopu
36,105.4293841,41.44690135,0.810272418,0.631578947,0.043282236,0.428257829,1084,phosphatase_chiral_binary_nopu
22,106.1375886,43.76517224,0.815807799,0.49859944,0.337440758,0.453599308,54,phosphatase_chiral_binary_nopu
41,103.9026291,43.55395907,0.814503574,0.782608696,0.068246445,0.45049226,162,phosphatase_chiral_binary_nopu
40,106.7285472,43.27537009,0.813134887,0.782608696,0.068246445,0.452237596,271,phosphatase_chiral_binary_nopu
13,104.8307577,42.95726106,0.813208691,0.896551724,0.02464455,0.453024414,542,phosphatase_chiral_binary_nopu
45,104.6934281,41.55516106,0.812218981,0.782608696,0.068246445,0.446036681,1084,phosphatase_chiral_binary_nopu
19,104.6773893,43.81320062,0.828050255,0.500571429,0.394239424,0.469164235,54,phosphatase_chiral_binary_nopu
50,105.3860627,43.49061063,0.828078517,0.761904762,0.057605761,0.478882627,162,phosphatase_chiral_binary_nopu
31,105.8932818,43.43162093,0.826816645,0.761904762,0.057605761,0.461258134,271,phosphatase_chiral_binary_nopu
36,106.3978691,42.75489298,0.827640162,0.639455782,0.084608461,0.467056942,542,phosphatase_chiral_binary_nopu
28,107.4070903,41.57089451,0.823576883,0,0,0.466231467,1084,phosphatase_chiral_binary_nopu
13,105.3509433,43.91682878,0.81959604,0.573964497,0.271708683,0.473382004,54,phosphatase_chiral_binary_nopu
29,105.5780575,43.61227617,0.821110969,0.578856153,0.311858077,0.478345949,162,phosphatase_chiral_binary_nopu
48,105.8677577,43.42324704,0.820695506,0.83,0.077497666,0.475538747,271,phosphatase_chiral_binary_nopu
31,105.6408037,42.881533,0.819430206,0.776595745,0.068160598,0.477283929,542,phosphatase_chiral_binary_nopu
33,105.925932,41.66940218,0.81907185,0.83,0.077497666,0.470935617,1084,phosphatase_chiral_binary_nopu
4,85.43619388,38.66416281,0.80658619,0.747826087,0.278317152,0.575693336,30,esterase_binary_nopu
14,85.1457911,38.68621463,0.763022337,0.666666667,0.203883495,0.472908619,92,esterase_binary_nopu
3,84.69079671,39.44191587,0.785254503,0.604060914,0.192556634,0.488271476,153,esterase_binary_nopu
19,85.26591227,37.68010819,0.755028691,0.51793722,0.373786408,0.488544976,307,esterase_binary_nopu
5,64.60201615,36.19447127,0.805429965,0.681318681,0.300970874,0.57632417,615,esterase_binary_nopu
10,65.07418974,37.45664462,0.828025603,0.722891566,0.293159609,0.606102974,30,esterase_binary_nopu
7,64.78518853,37.45224446,0.812327852,0.703007519,0.304560261,0.609752142,92,esterase_binary_nopu
7,64.50256121,37.54793307,0.801710656,0.600600601,0.325732899,0.54052631,153,esterase_binary_nopu
3,64.91745502,38.54991946,0.784678501,0.884615385,0.037459283,0.530912695,307,esterase_binary_nopu
6,66.02488595,36.08593354,0.802844918,0.709016393,0.281758958,0.562432202,615,esterase_binary_nopu
56,66.10962187,32.54976028,0.932009199,0.903581267,0.523961661,0.83068026,30,esterase_binary_nopu
34,63.67128326,38.43782035,0.770759068,0.662393162,0.247603834,0.503615437,92,esterase_binary_nopu
2,63.87479573,39.19215548,0.770137555,0.748031496,0.151757188,0.520611513,153,esterase_binary_nopu
4,66.05683859,37.35970911,0.816102413,0.699029126,0.230031949,0.568363807,307,esterase_binary_nopu
12,65.16853128,36.69456533,0.774283425,0,0,0.51910236,615,esterase_binary_nopu
2,65.83027117,39.5447548,0.820797807,0.609004739,0.414516129,0.589452942,30,esterase_binary_nopu
18,64.5980228,34.22914723,0.917143469,0.827067669,0.532258065,0.779048847,92,esterase_binary_nopu
9,65.16682852,37.46403956,0.846143218,0.432773109,0.830645161,0.608155632,153,esterase_binary_nopu
8,64.13895286,38.57912457,0.786749147,0.656626506,0.175806452,0.519949689,307,esterase_binary_nopu
10,65.59673955,36.78079998,0.793765608,0.682835821,0.29516129,0.52851133,615,esterase_binary_nopu
31,7.662157453,6.091735929,0.794646874,0.578947368,0.203703704,0.405102177,2,duf_binary_nopu
25,7.822422586,6.158691138,0.79048583,0.459459459,0.314814815,0.330012977,8,duf_binary_nopu
23,7.655372046,6.046861887,0.779727096,0.653846154,0.314814815,0.369373787,13,duf_binary_nopu
16,8.029689142,6.11860472,0.773316839,0.405797101,0.518518519,0.385119684,27,duf_binary_nopu
46,7.764198942,5.830093384,0.769905533,0.391304348,0.166666667,0.315342101,54,duf_binary_nopu
17,7.994455433,6.221403033,0.809088073,0.487804878,0.338983051,0.348656093,2,duf_binary_nopu
40,7.868811339,6.030668825,0.830907074,0.647058824,0.372881356,0.46008141,8,duf_binary_nopu
60,8.150433545,6.02318421,0.825447991,0.75,0.050847458,0.466496874,13,duf_binary_nopu
50,7.760441587,6.050923198,0.836504801,0.56,0.474576271,0.496365747,27,duf_binary_nopu
29,8.187534058,5.823686093,0.806627153,0,0,0.396876837,54,duf_binary_nopu
25,8.514597531,6.189588934,0.808048521,0,0,0.32271358,2,duf_binary_nopu
44,7.905484867,6.069300264,0.806737153,0.4,0.040816327,0.320749348,8,duf_binary_nopu
34,7.895254336,6.050989777,0.854438161,0.5,0.367346939,0.375287057,13,duf_binary_nopu
27,8.248313596,6.053275734,0.816121629,0.5,0.244897959,0.327275834,27,duf_binary_nopu
34,8.084387348,5.890843302,0.786083108,0.435897436,0.346938776,0.334079986,54,duf_binary_nopu
24,7.584612779,6.045383722,0.794642857,0.487179487,0.296875,0.351166776,2,duf_binary_nopu
18,8.113884291,6.213650316,0.805027174,0.456521739,0.328125,0.399181823,8,duf_binary_nopu
24,8.184059427,5.962686121,0.801080487,0.52173913,0.375,0.361656525,13,duf_binary_nopu
18,8.415972184,6.091113716,0.791731366,0,0,0.323192776,27,duf_binary_nopu
25,8.230522459,5.866572291,0.791666667,0.45,0.140625,0.335132842,54,duf_binary_nopu
25,11.57374677,6.567695379,0.777941621,0.555555556,0.087719298,0.325673323,3,halogenase_NaBr_binary_nopu
28,12.55797481,6.580861449,0.80350121,0.636363636,0.122807018,0.320100611,9,halogenase_NaBr_binary_nopu
62,13.03538566,6.549833566,0.802915154,0.625,0.087719298,0.37019692,16,halogenase_NaBr_binary_nopu
20,12.44186158,6.523034096,0.791591047,0,0,0.279313821,32,halogenase_NaBr_binary_nopu
30,13.51675899,6.850983143,0.776372505,0,0,0.311066131,64,halogenase_NaBr_binary_nopu
56,12.51157062,6.85765022,0.792472613,0,0,0.452227885,3,halogenase_NaBr_binary_nopu
23,12.27531359,6.491787076,0.852018779,0,0,0.486143152,9,halogenase_NaBr_binary_nopu
13,13.42242691,6.558212847,0.843787167,0,0,0.480136961,16,halogenase_NaBr_binary_nopu
39,11.8897785,6.550058365,0.842065728,0,0,0.523078778,32,halogenase_NaBr_binary_nopu
50,12.16957346,6.196551442,0.837621283,0,0,0.487657166,64,halogenase_NaBr_binary_nopu
43,11.79432948,6.84760052,0.797869964,0.75,0.051724138,0.353350182,3,halogenase_NaBr_binary_nopu
29,11.93875393,6.760787517,0.791837343,0.297619048,0.431034483,0.350329657,9,halogenase_NaBr_binary_nopu
15,12.62802174,6.820066065,0.788597602,0,0,0.264052648,16,halogenase_NaBr_binary_nopu
38,13.27232165,6.421595365,0.77258509,0,0,0.252725187,32,halogenase_NaBr_binary_nopu
17,12.55183325,6.165223151,0.81354733,0.75,0.051724138,0.351747399,64,halogenase_NaBr_binary_nopu
24,13.84663003,6.686122805,0.823459133,0,0,0.347989412,3,halogenase_NaBr_binary_nopu
22,12.07136604,6.500541806,0.844577975,0,0,0.465419513,9,halogenase_NaBr_binary_nopu
32,11.76121873,6.667377144,0.866399606,0,0,0.447971844,16,halogenase_NaBr_binary_nopu
32,13.24492921,6.366797417,0.805713683,0.40625,0.209677419,0.382457553,32,halogenase_NaBr_binary_nopu
20,14.25314001,6.194481522,0.859723101,0,0,0.456674707,64,halogenase_NaBr_binary_nopu
